Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Cadence,Max Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Max Depth,Bottom Time,Min Water Temp,Gas Type,Surface Interval,Weight,Current,Surface Conditions,Decompression,Water Type
running,2017-05-18 08:23:46,false,"Seattle Running","7.10","529","37:28","--","--","0.0","--","--","5:16","0:40","3","58","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-05-17 08:36:40,false,"Seattle Running","6.44","476","31:51","--","--","0.0","--","--","4:57","1:51","15","32","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-05-16 08:30:28,false,"Seattle Running","7.27","521","37:06","--","--","0.0","--","--","5:06","0:43","23","73","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-05-14 16:14:57,false,"Seattle Running","5.01","368","27:31","--","--","0.0","--","--","5:30","2:29","7","48","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-05-13 10:23:45,false,"Seattle Running","32.20","2,344","2:57:22","--","--","0.0","--","--","5:30","3:12","104","102","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-05-09 08:37:38,false,"Seattle Running","7.25","544","36:11","--","--","0.0","--","--","4:59","0:46","26","73","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-05-07 18:50:40,false,"Seattle Running","5.07","354","25:00","--","--","0.0","--","--","4:56","0:16","49","42","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-05-06 12:08:19,false,"Seattle Running","21.17","1,554","1:44:23","--","--","0.0","--","--","4:56","1:13","80","77","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-05-05 07:59:15,false,"Seattle Running","7.07","521","35:21","--","--","0.0","--","--","5:00","2:01","10","68","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-05-04 08:28:38,false,"Seattle Running","6.91","510","35:24","--","--","0.0","--","--","5:08","3:53","6","63","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-05-03 08:40:43,false,"Seattle Running","7.32","547","38:23","--","--","0.0","--","--","5:14","2:20","10","58","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-04-26 08:42:08,false,"Seattle Running","7.13","571","37:46","--","--","0.0","--","--","5:18","3:13","11","61","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-04-25 08:19:19,false,"Seattle Running","7.38","594","37:09","--","--","0.0","--","--","5:02","1:13","17","66","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-04-22 15:39:11,false,"Seattle Running","21.11","1,670","1:45:46","--","--","0.0","--","--","5:01","3:54","70","106","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-04-20 09:04:10,false,"Seattle Running","3.17","253","16:36","--","--","0.0","--","--","5:14","3:51","14","8","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-04-19 08:42:38,false,"Seattle Running","7.29","585","38:02","--","--","0.0","--","--","5:13","0:37","8","58","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-04-18 08:58:57,false,"Seattle Running","3.30","265","17:11","--","--","0.0","--","--","5:13","2:43","9","--","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-04-02 12:37:45,false,"Seattle Running","30.02","2,359","2:32:46","--","--","0.0","--","--","5:05","4:15","2","3","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-03-05 14:57:55,false,"Seattle Running","21.17","1,676","1:44:42","--","--","0.0","--","--","4:57","3:33","59","62","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2017-01-07 13:29:11,false,"Seattle Running","21.18","1,681","1:43:56","--","--","0.0","--","--","4:55","3:11","65","106","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2016-12-27 11:34:35,false,"Seattle Running","41.69","3,234","4:19:29","--","--","0.0","--","--","6:13","3:18","121","96","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2016-12-17 15:44:38,false,"Seattle Running","11.41","910","56:46","--","--","0.0","--","--","4:59","1:08","55","27","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2016-12-11 10:08:11,false,"Seattle Running","16.11","1,276","1:20:02","--","--","0.0","--","--","4:58","3:23","48","55","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2016-11-27 07:30:03,false,"Seattle Running","21.35","1,611","1:40:24","--","--","0.0","--","--","4:42","0:26","226","229","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2016-10-16 15:20:04,false,"Seattle Running","10.01","791","53:20","--","--","0.0","--","--","5:20","3:22","49","49","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2016-10-02 14:48:46,false,"Seattle Running","30.04","2,344","2:48:08","--","--","0.0","--","--","5:36","1:52","118","86","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2016-09-17 15:19:49,false,"Seattle Running","21.27","1,679","1:48:39","--","--","0.0","--","--","5:06","2:58","71","72","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2016-09-11 11:28:25,false,"Seattle Running","12.02","953","1:00:10","--","--","0.0","--","--","5:00","0:41","44","44","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
running,2016-09-05 14:13:40,false,"Seattle Running","21.20","1,668","1:48:07","--","--","0.0","--","--","5:06","2:03","70","79","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","--","--","--","No","--"
